Time,Position,Velocity
1705983175.748096,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983175.8601077,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983175.9558067,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.0517218,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.1477635,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.2596653,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.3552327,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.451271,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.547338,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.659138,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.7549016,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.8510368,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983176.9469724,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.0589468,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.154594,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.2504635,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.346435,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.4582498,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.5541484,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.650052,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.7460108,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.8576503,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983177.953801,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.0496562,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.1614423,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.2573426,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.3535511,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.4494143,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.561054,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.6572978,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.7530217,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.8488724,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983178.9606135,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.0565617,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.1525674,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.2486475,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
