Time,X,Y
1698711673.2179382,0.0,0.0
1698711674.2178771,0.0,0.0
1698711675.2171154,0.0,0.0
1698711676.2178016,0.0,0.0
1698711677.2178838,0.0,0.0
1698711678.2178252,0.0,0.0
1698711679.2179563,0.0,0.0
1698711680.2179778,0.0,0.0
1698711681.2178311,0.0,0.0
1698711682.2178519,0.0,0.0
1698711683.2177885,0.0,0.0
1698711684.2180839,0.0,0.0
1698711685.2178688,0.0,0.0
1698711686.2178738,0.0,0.0
1698711687.217924,0.0,0.0
1698711688.2178545,0.0,0.0
1698711689.2179136,0.0,0.0
1698711690.2178125,0.0,0.0
1698711691.2178314,0.0,0.0
1698711692.2179024,0.0,0.0
1698711693.2179208,0.0,0.0
1698711694.2179842,0.0,0.0
1698711695.2179103,0.0,0.0
1698711696.2178988,0.0,0.0
1698711697.21792,0.0,0.0
1698711698.218024,0.0,0.0
1698711699.2178774,0.0,0.0
1698711700.217917,0.0,0.0
1698711701.2178738,0.0,0.0
1698711702.2179046,0.0,0.0
1698711703.2178183,0.0,0.0
1698711704.2178764,0.0,0.0
1698711705.217819,0.0,0.0
1698711706.2178714,0.0,0.0
1698711707.2178648,0.0,0.0
1698711708.2178018,0.0,0.0
1698711709.2179368,0.0,0.0
1698711710.217969,0.0,0.0
1698711711.2179208,0.0,0.0
1698711712.217935,0.0,0.0
1698711713.2179604,0.0,0.0
1698711714.2180057,0.0,0.0
1698711715.2179675,0.0,0.0
1698711716.2179496,0.0,0.0
1698711717.2178526,0.0,0.0
1698711718.217975,0.0,0.0
